ingredient,source_brand,drug_interactions_text
METFORMIN,Metformin hydrochloride,"7 DRUG INTERACTIONS Table 2 presents clinically significant drug interactions with metformin hydrochloride extended-release tablets. Table 2: Clinically Significant Drug Interactions with Metformin hydrochloride extended-release tablets Carbonic Anhydrase Inhibitors Clinical Impact: Carbonic anhydrase inhibitors frequently cause a decrease in serum bicarbonate and induce non-anion gap, hyperchloremic metabolic acidosis. Concomitant use of these drugs with metformin hydrochloride extended-release tablets may increase the risk for lactic acidosis. Intervention: Consider more frequent monitoring of these patients. Examples: Topiramate, zonisamide, acetazolamide or dichlorphenamide. Drugs that Reduce Metformin hydrochloride extended-release tablets Clearance Clinical Impact: Concomitant use of drugs that interfere with common renal tubular transport systems involved in the renal elimination of metformin (e.g., organic cationic transporter-2 [OCT2] / multidrug and toxin extrusion [MATE] inhibitors) could increase systemic exposure to metformin and may increase the risk for lactic acidosis [see Clinical Pharmacology ( 12.3 )]. Intervention: Consider the benefits and risks of concomitant use with metformin hydrochloride extended-release tablets. Examples: Ranolazine, vandetanib, dolutegravir, and cimetidine. Alcohol Clinical Impact: Alcohol is known to potentiate the effect of metformin on lactate metabolism. Intervention: Warn patients against excessive alcohol intake while receiving metformin hydrochloride extended-release tablets. Insulin Secretagogues or Insulin Clinical Impact: Coadministration of metformin hydrochloride extended-release tablets with an insulin secretagogue (e.g., sulfonylurea) or insulin may increase the risk of hypoglycemia. Intervention: Patients receiving an insulin secretagogue or insulin may require lower doses of the insulin secretagogue or insulin. Drugs Affecting Glycemic Control Clinical Impact: Certain drugs tend to produce hyperglycemia and may lead to loss of glycemic control. Intervention: When such drugs are administered to a patient receiving metformin hydrochloride extended-release tablets, observe the patient closely for loss of blood glucose control. When such drugs are withdrawn from a patient receiving metformin hydrochloride extended-release tablets, observe the patient closely for hypoglycemia. Examples: Thiazides and other diuretics, corticosteroids, phenothiazines, thyroid products, estrogens, oral contraceptives, phenytoin, nicotinic acid, sympathomimetics, calcium channel blockers, and isoniazid. Carbonic anhydrase inhibitors may increase risk of lactic acidosis. Consider more frequent monitoring ( 7 ) Drugs that reduce metformin clearance (such as ranolazine, vandetanib, dolutegravir, and cimetidine) may increase the accumulation of metformin. Consider the benefits and risks of concomitant use ( 7 ) Alcohol can potentiate the effect of metformin on lactate metabolism. Warn patients against excessive alcohol intake ( 7 )"
LISINOPRIL,Lisinopril and Hydrochlorothiazide,"Drug Interactions Lisinopril Hypotension - Patients on Diuretic Therapy: Patients on diuretics, and especially those in whom diuretic therapy was recently instituted, may occasionally experience an excessive reduction of blood pressure after initiation of therapy with lisinopril. The possibility of hypotensive effects with lisinopril can be minimized by either discontinuing the diuretic or increasing the salt intake prior to initiation of treatment with lisinopril. If it is necessary to continue the diuretic, initiate therapy with lisinopril at a dose of 5 mg daily, and provide close medical supervision after the initial dose for at least two hours and until blood pressure has stabilized for at least an additional hour. (See WARNINGS and DOSAGE AND ADMINISTRATION .) When a diuretic is added to the therapy of a patient receiving lisinopril, an additional antihypertensive effect is usually observed. (See DOSAGE AND ADMINISTRATION .) Non-steroidal Anti-inflammatory Agents Including Selective Cyclooxygenase-2 (COX-2) Inhibitors: In patients who are elderly, volume-depleted (including those on diuretic therapy), or with compromised renal function, co-administration of NSAIDs, including selective COX-2 inhibitors, with ACE inhibitors, including lisinopril, may result in deterioration of renal function, including possible acute renal failure. These effects are usually reversible. Monitor renal function periodically in patients receiving lisinopril and NSAID therapy. The antihypertensive effect of ACE inhibitors, including lisinopril, may be attenuated by NSAIDs. Dual Blockade of the Renin-Angiotensin System (RAS): Dual blockade of the RAS with angiotensin receptor blockers, ACE inhibitors, or direct renin inhibitors (such as aliskiren) is associated with increased risk of hypotension, syncope, hyperkalemia, and changes in renal function (including acute renal failure) compared to monotherapy. The VA NEPHRON trial enrolled 1448 patients with type 2 diabetes, elevated urinary-albumin-to-creatinine ratio, and decreased estimated glomerular filtration rate (GFR 30 to 89.9 ml/min), randomized them to lisinopril or placebo on a background of losartan therapy and followed them for a median of 2.2 years. Patients receiving the combination of losartan and lisinopril did not obtain any additional benefit compared to monotherapy for the combined endpoint of decline in GFR, end state renal disease, or death, but experienced an increased incidence of hyperkalemia and acute kidney injury compared with the monotherapy group. In general, avoid combined use of RAS inhibitors. Monitor blood pressure, renal function, and electrolytes in patients on lisinopril and hydrochlorothiazide tablets and other agents that affect the RAS. Do not coadminister aliskiren with lisinopril and hydrochlorothiazide tablets in patients with diabetes. Avoid use of aliskiren with PRINZIDE in patients with renal impairment (GFR <60 ml/min). Other Agents: Lisinopril has been used concomitantly with nitrates and/or digoxin without evidence of clinically significant adverse interactions. No meaningful clinically important pharmacokinetic interactions occurred when lisinopril was used concomitantly with propranolol, digoxin, or hydrochlorothiazide. The presence of food in the stomach does not alter the bioavailability of lisinopril. Agents Increasing Serum Potassium: Lisinopril attenuates potassium loss caused by thiazide-type diuretics. Use of lisinopril with potassium-sparing diuretics (e.g., spironolactone, eplerenone, triamterene, or amiloride), potassium supplements, or potassium-containing salt substitutes may lead to significant increases in serum potassium. Therefore, if concomitant use of these agents is indicated, because of demonstrated hypokalemia, they should be used with caution and with frequent monitoring of serum potassium. Lithium: Lithium toxicity has been reported in patients receiving lithium concomitantly with drugs which cause elimination of sodium, includ"
ATORVASTATIN,Atorvastatin calcium,"7 DRUG INTERACTIONS See full prescribing information for details regarding concomitant use of atorvastatin calcium with other drugs or grapefruit juice that increase the risk of myopathy and rhabdomyolysis ( 2.5 , 7.1 ). Rifampin: May reduce atorvastatin plasma concentrations. Administer simultaneously with atorvastatin calcium ( 7.2 ). Oral Contraceptives: May increase plasma levels of norethindrone and ethinyl estradiol; consider this effect when selecting an oral contraceptive (7.3 ). Digoxin: May increase digoxin plasma levels; monitor patients appropriately ( 7.3 ). 7.1 Drug Interactions that may Increase the Risk of Myopathy and Rhabdomyolysis with Atorvastatin Calcium Atorvastatin is a substrate of CYP3A4 and transporters (e.g., OATP1B1/1B3, P-gp, or BCRP). Atorvastatin plasma levels can be significantly increased with concomitant administration of inhibitors of CYP3A4 and transporters. Table 2 includes a list of drugs that may increase exposure to atorvastatin and may increase the risk of myopathy and rhabdomyolysis when used concomitantly and instructions for preventing or managing them [see Warnings and Precautions (5.1) and Clinical Pharmacology (12.3) ]. Table 2: Drug Interactions that may Increase the Risk of Myopathy and Rhabdomyolysis with Atorvastatin Cyclosporine or Gemfibrozil Clinical Impact: Atorvastatin plasma levels were significantly increased with concomitant administration of atorvastatin and cyclosporine, an inhibitor of CYP3A4 and OATP1B1 [see Clinical Pharmacology (12.3) ]. Gemfibrozil may cause myopathy when given alone. The risk of myopathy and rhabdomyolysis is increased with concomitant use of cyclosporine or gemfibrozil with atorvastatin. Intervention: Concomitant use of cyclosporine or gemfibrozil with atorvastatin is not recommended. Anti-Viral Medications Clinical Impact: Atorvastatin plasma levels were significantly increased with concomitant administration of atorvastatin with many anti-viral medications, which are inhibitors of CYP3A4 and/or transporters (e.g., BCRP, OATP1B1/1B3, P-gp, MRP2, and/or OAT2) [see Clinical Pharmacology (12.3) ]. Cases of myopathy and rhabdomyolysis have been reported with concomitant use of ledipasvir plus sofosbuvir with atorvastatin. Intervention: Concomitant use of tipranavir plus ritonavir or glecaprevir plus pibrentasvir with atorvastatin is not recommended. In patients taking lopinavir plus ritonavir, or simeprevir, consider the risk/benefit of concomitant use with atorvastatin. In patients taking saquinavir plus ritonavir, darunavir plus ritonavir, fosamprenavir, fosamprenavir plus ritonavir, elbasvir plus grazoprevir or letermovir, do not exceed atorvastatin 20 mg. In patients taking nelfinavir, do not exceed atorvastatin 40 mg [see Dosage and Administration (2.5) ]. Consider the risk/benefit of concomitant use of ledipasvir plus sofosbuvir with atorvastatin. Monitor all patients for signs and symptoms of myopathy particularly during initiation of therapy and during upward dose titration of either drug. Examples: Tipranavir plus ritonavir, glecaprevir plus pibrentasvir, lopinavir plus ritonavir, simeprevir, saquinavir plus ritonavir, darunavir plus ritonavir, fosamprenavir, fosamprenavir plus ritonavir, elbasvir plus grazoprevir, letermovir, nelfinavir, and ledipasvir plus sofosbuvir. Select Azole Antifungals or Macrolide Antibiotics Clinical Impact: Atorvastatin plasma levels were significantly increased with concomitant administration of atorvastatin with select azole antifungals or macrolide antibiotics, due to inhibition of CYP3A4 and/or transporters [see Clinical Pharmacology (12.3) ]. Intervention: In patients taking clarithromycin or itraconazole, do not exceed atorvastatin 20 mg [see Dosage and Administration (2.5) ]. Consider the risk/benefit of concomitant use of other azole antifungals or macrolide antibiotics with atorvastatin. Monitor all patients for signs and symptoms of myopathy particularly during initiation of therapy and during upwar"
WARFARIN,Warfarin Sodium,"7 DRUG INTERACTIONS Concomitant use of drugs that increase bleeding risk, antibiotics, antifungals, botanical (herbal) products, and inhibitors and inducers of CYP2C9, 1A2, or 3A4. ( 7 ) Consult labeling of all concurrently used drugs for complete information about interactions with warfarin sodium or increased risks for bleeding. ( 7 ) 7.1 General Information Drugs may interact with warfarin sodium through pharmacodynamic or pharmacokinetic mechanisms. Pharmacodynamic mechanisms for drug interactions with warfarin sodium are synergism (impaired hemostasis, reduced clotting factor synthesis), competitive antagonism (vitamin K), and alteration of the physiologic control loop for vitamin K metabolism (hereditary resistance). Pharmacokinetic mechanisms for drug interactions with warfarin sodium are mainly enzyme induction, enzyme inhibition, and reduced plasma protein binding. It is important to note that some drugs may interact by more than one mechanism. More frequent INR monitoring should be performed when starting or stopping other drugs, including botanicals, or when changing dosages of other drugs, including drugs intended for short-term use (e.g., antibiotics, antifungals, corticosteroids) [ see Boxed Warning ]. Consult the labeling of all concurrently used drugs to obtain further information about interactions with warfarin sodium or adverse reactions pertaining to bleeding. 7.2 CYP450 Interactions CYP450 isozymes involved in the metabolism of warfarin include CYP2C9, 2C19, 2C8, 2C18, 1A2, and 3A4. The more potent warfarin S -enantiomer is metabolized by CYP2C9 while the R -enantiomer is metabolized by CYP1A2 and 3A4. Inhibitors of CYP2C9, 1A2, and/or 3A4 have the potential to increase the effect (increase INR) of warfarin by increasing the exposure of warfarin. Inducers of CYP2C9, 1A2, and/or 3A4 have the potential to decrease the effect (decrease INR) of warfarin by decreasing the exposure of warfarin. Examples of inhibitors and inducers of CYP2C9, 1A2, and 3A4 are below in Table 2 ; however, this list should not be considered all-inclusive. Consult the labeling of all concurrently used drugs to obtain further information about CYP450 interaction potential. The CYP450 inhibition and induction potential should be considered when starting, stopping, or changing dose of concomitant medications. Closely monitor INR if a concomitant drug is a CYP2C9, 1A2, and/or 3A4 inhibitor or inducer. Table 2: Examples of CYP450 Interactions with Warfarin Enzyme Inhibitors Inducers CYP2C9 amiodarone, capecitabine, cotrimoxazole, etravirine, fluconazole, fluvastatin, fluvoxamine, metronidazole, miconazole, oxandrolone, sulfinpyrazone, tigecycline, voriconazole, zafirlukast aprepitant, bosentan, carbamazepine, phenobarbital, rifampin CYP1A2 acyclovir, allopurinol, caffeine, cimetidine, ciprofloxacin, disulfiram, enoxacin, famotidine, fluvoxamine, methoxsalen, mexiletine, norfloxacin, oral contraceptives, phenylpropanolamine, propafenone, propranolol, terbinafine, thiabendazole, ticlopidine, verapamil, zileuton montelukast, moricizine, omeprazole, phenobarbital, phenytoin, cigarette smoking CYP3A4 alprazolam, amiodarone, amlodipine, amprenavir, aprepitant, atorvastatin, atazanavir, bicalutamide, cilostazol, cimetidine, ciprofloxacin, clarithromycin, conivaptan, cyclosporine, darunavir/ritonavir, diltiazem, erythromycin, fluconazole, fluoxetine, fluvoxamine, fosamprenavir, imatinib, indinavir, isoniazid, itraconazole, ketoconazole, lopinavir/ritonavir, nefazodone, nelfinavir, nilotinib, oral contraceptives, posaconazole, ranitidine, ranolazine, ritonavir, saquinavir, telithromycin, tipranavir, voriconazole, zileuton armodafinil, amprenavir, aprepitant, bosentan, carbamazepine, efavirenz, etravirine, modafinil, nafcillin, phenytoin, pioglitazone, prednisone, rifampin, rufinamide 7.3 Drugs that Increase Bleeding Risk Examples of drugs known to increase the risk of bleeding are presented in Table 3 . Because bleeding risk is increased when these"
ASPIRIN,Ascomp with Codeine,"7 DRUG INTERACTIONS Table 1 includes clinically significant drug interactions with Butalbital, Aspirin, Caffeine, and Codeine Phosphate Capsules, USP. Table 1: Clinically Significant Drug Interactions with Butalbital, Aspirin, Caffeine, and Codeine Phosphate Capsules, USP Inhibitors of CYP3A4 Clinical Impact: The concomitant use of Butalbital, Aspirin, Caffeine, and Codeine Phosphate Capsules, USP with CYP3A4 inhibitors may result in an increase in codeine plasma concentrations with subsequently greater metabolism by cytochrome CYP2D6, resulting in greater morphine levels, which could increase or prolong adverse reactions and may cause potentially fatal respiratory depression, particularly when an inhibitor is added after a stable dose of Butalbital, Aspirin, Caffeine, and Codeine Phosphate Capsules, USP is achieved. After stopping a CYP3A4 inhibitor, as the effects of the inhibitor decline, it may result in lower codeine levels, greater norcodeine levels, and less metabolism via 2D6 with resultant lower morphine levels [see Clinical Pharmacology ( 12.3 )] , resulting in decreased opioid efficacy or a withdrawal syndrome in patients who had developed physical dependence to codeine. Intervention: If concomitant use with CYP3A4 inhibitor is necessary, consider dosage reduction of Butalbital, Aspirin, Caffeine, and Codeine Phosphate Capsules, USP until stable drug effects are achieved. Evaluate patients at frequent intervals for respiratory depression and sedation. If a CYP3A4 inhibitor is discontinued, consider increasing the Butalbital, Aspirin, Caffeine, and Codeine Phosphate Capsules, USP dosage until stable drug effects are achieved. Evaluate for signs of opioid withdrawal. Examples: Macrolide antibiotics (e.g., erythromycin), azole-antifungal agents (e.g. ketoconazole), protease inhibitors (e.g., ritonavir) CYP3A4 Inducers Clinical Impact: The concomitant use of Butalbital, Aspirin, Caffeine, and Codeine Phosphate Capsules, USP and CYP3A4 inducers can result in lower codeine levels, greater norcodeine levels, and less metabolism via 2D6 with resultant lower morphine levels [see Clinical Pharmacology ( 12.3 ) ] , resulting in decreased efficacy or onset of a withdrawal syndrome in patients who have developed physical dependence [see Warnings and Precautions ( 5.16 ) ]. After stopping a CYP3A4 inducer, as the effects of the inducer decline, the codeine plasma concentration may increase with subsequently greater metabolism by cytochrome CYP2D6, resulting in greater morphine levels [see Clinical Pharmacology ( 12.3 ) ] , which could increase or prolong both the therapeutic effects and adverse reactions, and may cause serious respiratory depression. Intervention: If concomitant use of a CYP3A4 inducer is necessary, evaluate patients at frequent intervals for reduced efficacy and signs of opioid withdrawal and consider increasing the Butalbital, Aspirin, Caffeine, and Codeine Phosphate Capsules, USP dosage as needed. If a CYP3A4 inducer is discontinued, consider Butalbital, Aspirin, Caffeine, and Codeine Phosphate Capsules, USP dosage reduction, and evaluate patients at frequent intervals for signs of respiratory depression and sedation. Examples: Rifampin, carbamazepine, phenytoin Inhibitors of CYP2D6 Clinical Impact: Codeine in Butalbital, Aspirin, Caffeine, and Codeine Phosphate Capsules, USP is metabolized by CYP2D6 to form morphine. The concomitant use of Butalbital, Aspirin, Caffeine, and Codeine Phosphate Capsules, USP and CYP2D6 inhibitors can increase the plasma concentration of codeine, but can decrease the plasma concentrations of active metabolite morphine which could result in reduced analgesic efficacy or symptoms of opioid withdrawal, particularly when an inhibitor is added after a stable dose of Butalbital, Aspirin, Caffeine, and Codeine Phosphate Capsules, USP is achieved [see Clinical Pharmacology ( 12.3 ) ]. After stopping a CYP2D6 inhibitor, as the effects of the inhibitor decline, the codeine plasma concentra"
IBUPROFEN,Ibuprofen,"Drug Interactions ACE-inhibitors Reports suggest that NSAIDs may diminish the antihypertensive effect of ACE-inhibitors. This interaction should be given consideration in patients taking NSAIDs concomitantly with ACE-inhibitors. Aspirin Pharmacodynamic studies have demonstrated interference with the antiplatelet activity of aspirin when ibuprofen 400 mg, given three times daily, is administered with enteric-coated low-dose aspirin. The interaction exists even following a once-daily regimen of ibuprofen 400 mg, particularly when ibuprofen is dosed prior to aspirin. The interaction is alleviated if immediate-release low-dose aspirin is dosed at least 2 hours prior to a once-daily regimen of ibuprofen; however, this finding cannot be extended to enteric-coated low-dose aspirin [see Clinical Pharmacology/Pharmacodynamics ]. Because there may be an increased risk of cardiovascular events due to the interference of ibuprofen with the antiplatelet effect of aspirin, for patients taking low-dose aspirin for cardio protection who require analgesics, consider use of a NSAID that does not interfere with the antiplatelet effect of aspirin, or non-NSAID analgesics, where appropriate. When Ibuprofen tablets are administered with aspirin, its protein binding is reduced, although the clearance of free Ibuprofen tablets is not altered. The clinical significance of this interaction is not known; however, as with other NSAIDs, concomitant administration of ibuprofen and aspirin is not generally recommended because of the potential for increased adverse effects. Diuretics Clinical studies, as well as post marketing observations, have shown that Ibuprofen tablets can reduce the natriuretic effect-of furosemide and thiazides in some patients. This response has been attributed to inhibition of renal prostaglandin synthesis. During concomitant therapy with NSAIDs, the patient should be observed closely for signs of renal failure [see PRECAUTIONS, Renal Effects ], as well as to assure diuretic efficacy. Lithium Ibuprofen produced an elevation of plasma lithium levels and a reduction in renal lithium clearance in a study of eleven normal volunteers. The mean minimum lithium concentration increased 15% and the renal clearance of lithium was decreased by 19% during this period of concomitant drug administration. This effect has been attributed to inhibition of renal prostaglandin synthesis by ibuprofen. Thus, when ibuprofen and lithium are administered concurrently, subjects should be observed carefully for signs of lithium toxicity. (Read circulars for lithium preparation before use of such concurrent therapy.) Methotrexate NSAIDs have been reported to competitively inhibit methotrexate accumulation in rabbit kidney slices. This may indicate that they could enhance the toxicity of methotrexate. Caution should be used when NSAIDs are administered concomitantly with methotrexate. Warfarin-type anticoagulants Several short-term controlled studies failed to show that Ibuprofen tablets significantly affected prothrombin times or a variety of other clotting factors when administered to individuals on coumarin-type anticoagulants. However, because bleeding has been reported when Ibuprofen tablets and other NSAIDs have been administered to patients on coumarin-type anticoagulants, the physician should be cautious when administering Ibuprofen tablets to patients on anticoagulants. The effects of warfarin and NSAIDs on GI bleeding are synergistic, such that the users of both drugs together have a risk of serious GI bleeding higher than users of either drug alone. H-2 Antagonists In studies with human volunteers, co-administration of cimetidine or ranitidine with ibuprofen had no substantive effect on ibuprofen serum concentrations."
AMLODIPINE,Amlodipine and Benazepril Hydrochloride,"7 DRUG INTERACTIONS Potassium supplements/potassium-sparing diuretics: hyperkalemia ( 7.1 ) Lithium: Increased serum lithium levels; toxicity symptoms ( 7.1 ) Injectable gold: facial flushing, nausea, vomiting, hypotension ( 7.1 ) Nonsteroidal Anti-Inflammatory Drugs (NSAIDs): Risk of renal dysfunction, loss of antihypertensive effect (7.1) Do not exceed doses greater than 20 mg daily of simvastatin (7.1) mTOR inhibitors: increased risk of angioedema ( 7.1 ) Dual inhibition of the RAS: Increased risk of renal impairment, hypotension, and hyperkalemia (7.1) Neprilysin inhibitors: increased risk of angioedema ( 7.1 ) 7.1 Drug/Drug Interactions Amlodipine Simvastatin : Coadministration of simvastatin with amlodipine increases the systemic exposure of simvastatin. Limit the dose of simvastatin in patients on amlodipine to 20 mg daily. CYP3A4 Inhibitors : Coadministration with CYP3A inhibitors (moderate and strong) results in increased systemic exposure to amlodipine and may require dose reduction. Monitor for symptoms of hypotension and edema when amlodipine is coadministered with CYP3A4 inhibitors to determine the need for dose adjustment. CYP3A4 Inducers : No information is available on the quantitative effects of CYP3A4 inducers on amlodipine. Blood pressure should be monitored when amlodipine is coadministered with CYP3A4 inducers (e.g. rifampicin, St. John’s Wort). Benazepril Potassium Supplements and Potassium-Sparing Diuretics: Benazepril can attenuate potassium loss caused by thiazide diuretics. Potassium-sparing diuretics (spironolactone, amiloride, triamterene, and others) or potassium supplements can increase the risk of hyperkalemia. If concomitant use of such agents is indicated, the patient’s serum potassium should be monitored frequently. Lithium: Increased serum lithium levels and symptoms of lithium toxicity have been reported in patients receiving ACE inhibitors during therapy with lithium. When coadministering amlodipine and benazepril hydrochloride and lithium, frequent monitoring of serum lithium levels is recommended. Gold: Nitritoid reactions (symptoms include facial flushing, nausea, vomiting and hypotension) have been reported rarely in patients on therapy with injectable gold (sodium aurothiomalate) and concomitant ACE inhibitor therapy. Nonsteroidal Anti-Inflammatory Drugs (NSAIDs) including Selective Cyclooxygenase-2 Inhibitors (COX-2 Inhibitors): In patients who are elderly, volume-depleted (including those on diuretic therapy), or with compromised renal function, coadministration of NSAIDs, including selective COX-2 inhibitors, with ACE inhibitors, including benazepril, may result in deterioration of renal function, including possible acute renal failure. These effects are usually reversible. Monitor renal function periodically in patients receiving benazepril and NSAID therapy. The antihypertensive effect of ACE inhibitors, including benazepril, may be attenuated by NSAIDs. Antidiabetic Agents: In rare cases, diabetic patients receiving an ACE inhibitor (including benazepril) concomitantly with insulin or oral antidiabetics may develop hypoglycemia. Such patients should therefore be advised about the possibility of hypoglycemic reactions and should be monitored accordingly. Mammalian Target of Rapamycin (mTOR) Inhibitors: The risk of angioedema may be increased in patients receiving coadministration of ACE inhibitors and mTOR inhibitors (e.g., temsirolimus, sirolimus, everolimus). Dual Blockade of the Renin-Angiotensin System (RAS): Dual blockade of the RAS with angiotensin receptor blockers, ACE inhibitors, or aliskiren is associated with increased risks of hypotension, hyperkalemia, and changes in renal function (including acute renal failure) compared to monotherapy. Most patients receiving the combination of two RAS inhibitors do not obtain any additional benefit compared to monotherapy. In general, avoid combined use of RAS inhibitors. Closely monitor blood pressure, renal function and electroly"
VITAMIN A,Davimet with Iron,"Drug Interactions: Davimet™ with Iron Multivitamin Chewable Tablets are not recommended and should not be given to patients receiving levodopa because the action oflevodopa is antagonized by pyridoxine. There is a possibility of increased bleeding due to pyridoxine interaction with anticoagulants (e.g., Aspirin, Heparin orClopidogrel)."
